Name,Rating,Rating count,Link,Country,Genre,Director,Year,Time (min)
...А зори здесь тихие,7.4,35731,https://www.kinopoisk.ru/film/43395/,СССР ,драма, Станислав Ростоцкий,1972,160
Оппенгеймер,7.4,241845,https://www.kinopoisk.ru/film/4664634/,США ,биография, Кристофер Нолан,2023,180
ВАЛЛ·И,7.4,69275,https://www.kinopoisk.ru/film/279102/,США ,мультфильм, Эндрю Стэнтон,2008,98
Области тьмы,7.4,145274,https://www.kinopoisk.ru/film/462606/,США ,триллер, Нил Бёргер,2011,105
Планета Ка-Пэкс,7.4,61446,https://www.kinopoisk.ru/film/723/,Германия ,фантастика, Иэн Софтли,2001,120
Москва слезам не верит,7.4,125116,https://www.kinopoisk.ru/film/46708/,СССР ,мелодрама, Владимир Меньшов,1979,150
Достать ножи,7.4,224548,https://www.kinopoisk.ru/film/1188529/,США ,детектив, Райан Джонсон,2019,130
Клаус,7.4,26397,https://www.kinopoisk.ru/film/957887/,Испания ,мультфильм, Серхио Паблос,2019,96
Ла-Ла Ленд,7.4,71350,https://www.kinopoisk.ru/film/841081/,США ,мюзикл, Дэмьен Шазелл,2016,128
Как прогулять школу с пользой,7.4,135472,https://www.kinopoisk.ru/film/1032308/,Франция ,драма, Николя Ванье,2017,116
По соображениям совести,7.4,43302,https://www.kinopoisk.ru/film/649917/,США ,биография, Мэл Гибсон,2016,139
Реквием по мечте,7.4,33674,https://www.kinopoisk.ru/film/367/,США ,драма, Даррен Аронофски,2000,102
Ходячий замок,7.4,79356,https://www.kinopoisk.ru/film/49684/,Япония ,аниме, Хаяо Миядзаки,2004,119
Отпуск по обмену,7.4,141146,https://www.kinopoisk.ru/film/104927/,США ,мелодрама, Нэнси Майерс,2006,136
12 лет рабства,7.4,105620,https://www.kinopoisk.ru/film/606646/,Великобритания ,драма, Стив МакКуин,2013,133
Догвилль,7.4,26694,https://www.kinopoisk.ru/film/7226/,Дания ,триллер, Ларс фон Триер,2003,178
Балканский рубеж,7.4,113986,https://www.kinopoisk.ru/film/1000443/,Россия ,боевик, Андрей Волгин,2019,151
Жизнь Дэвида Гейла,7.4,80827,https://www.kinopoisk.ru/film/738/,Великобритания ,триллер, Алан Паркер,2002,130
Дурак,7.4,77509,https://www.kinopoisk.ru/film/808639/,Россия ,драма, Юрий Быков,2014,116
Паразиты,7.4,177762,https://www.kinopoisk.ru/film/1043758/,Корея Южная ,драма, Пон Джун-хо,2019,131
Король говорит!,7.4,70715,https://www.kinopoisk.ru/film/485311/,Великобритания ,драма, Том Хупер,2010,118
Молчание ягнят,7.4,45269,https://www.kinopoisk.ru/film/345/,США ,триллер, Джонатан Демме,1990,118
Безумный Макс: Дорога ярости,7.4,36098,https://www.kinopoisk.ru/film/453406/,Австралия ,боевик, Джордж Миллер,2015,120
Искупление,7.4,50710,https://www.kinopoisk.ru/film/255611/,Великобритания ,драма, Джо Райт,2007,120
Гарри Поттер и Кубок огня,7.4,49042,https://www.kinopoisk.ru/film/8408/,Великобритания ,фэнтези, Майк Ньюэлл,2005,157
Пожары,7.4,42023,https://www.kinopoisk.ru/film/425400/,Канада ,драма, Дени Вильнёв,2010,131
Троя,7.4,34372,https://www.kinopoisk.ru/film/3442/,США ,боевик, Вольфганг Петерсен,2004,163
Крестный отец,7.4,29637,https://www.kinopoisk.ru/film/325/,США ,драма, Фрэнсис Форд Коппола,1972,175
Чудо,7.4,66488,https://www.kinopoisk.ru/film/722951/,США ,драма, Стивен Чбоски,2017,113
Жизнь других,7.4,54049,https://www.kinopoisk.ru/film/126196/,Германия ,триллер, Флориан Хенкель фон Доннерсмарк,2006,137
12 разгневанных мужчин,7.4,8919,https://www.kinopoisk.ru/film/346/,США ,драма, Сидни Люмет,1956,96
Алеша Попович и Тугарин Змей,7.4,138956,https://www.kinopoisk.ru/film/81041/,Россия ,мультфильм, Константин Бронзит,2004,79
Служебный роман,7.4,106518,https://www.kinopoisk.ru/film/43869/,СССР ,мелодрама, Эльдар Рязанов,1977,159
Далласский клуб покупателей,7.3,126863,https://www.kinopoisk.ru/film/260162/,США ,драма, Жан-Марк Валле,2013,118
Как приручить дракона,7.3,77463,https://www.kinopoisk.ru/film/280172/,США ,мультфильм, Дин ДеБлуа,2010,98
Аватар,7.3,104310,https://www.kinopoisk.ru/film/251733/,США ,фантастика, Джеймс Кэмерон,2009,162
Загадочная история Бенджамина Баттона,7.3,35890,https://www.kinopoisk.ru/film/81555/,США ,драма, Дэвид Финчер,2008,166
Такси,7.3,116455,https://www.kinopoisk.ru/film/14349/,Франция ,боевик, Жерар Пирес,1998,89
Билли Эллиот,7.3,70763,https://www.kinopoisk.ru/film/610/,Великобритания ,драма, Стивен Долдри,2000,110
Кин-дза-дза!,7.3,48723,https://www.kinopoisk.ru/film/44811/,СССР ,фантастика, Георгий Данелия,1986,135
Небо,7.3,133905,https://www.kinopoisk.ru/film/1421591/,Россия ,военный, Игорь Копылов,2021,126
Таксист,7.3,53858,https://www.kinopoisk.ru/film/1008113/,Корея Южная ,история, Чан Хун,2017,137
Адвокат дьявола,7.3,37484,https://www.kinopoisk.ru/film/3797/,США ,триллер, Тейлор Хэкфорд,1997,144
Век Адалин,7.3,102232,https://www.kinopoisk.ru/film/522876/,США ,драма, Ли Толанд Кригер,2015,113
Олдбой,7.3,48592,https://www.kinopoisk.ru/film/75871/,Корея Южная ,триллер, Пак Чхан-ук,2003,120
Амели,7.3,56714,https://www.kinopoisk.ru/film/341/,Франция ,мелодрама, Жан-Пьер Жёне,2001,122
Терминал,7.3,43334,https://www.kinopoisk.ru/film/6877/,США ,драма, Стивен Спилберг,2004,124
Человек-паук,7.3,69638,https://www.kinopoisk.ru/film/838/,США ,фантастика, Сэм Рэйми,2002,121
Назад в будущее 2,7.3,27448,https://www.kinopoisk.ru/film/5502/,США ,фантастика, Роберт Земекис,1989,108
Двухсотлетний человек,7.3,35817,https://www.kinopoisk.ru/film/7640/,Германия ,фантастика, Крис Коламбус,1999,126
12 стульев,7.3,44518,https://www.kinopoisk.ru/film/46789/,СССР ,комедия, Леонид Гайдай,1971,153
Человек-паук: Через вселенные,7.3,48191,https://www.kinopoisk.ru/film/920265/,Канада ,мультфильм, Боб Персичетти,2018,117
Крестный отец 2,7.3,13828,https://www.kinopoisk.ru/film/327/,США ,драма, Фрэнсис Форд Коппола,1974,202
Война,7.3,36705,https://www.kinopoisk.ru/film/41431/,Россия ,боевик, Алексей Балабанов,2002,120
Твоё имя,7.3,33975,https://www.kinopoisk.ru/film/958722/,Япония ,аниме, Макото Синкай,2016,110
Славные парни,7.3,14674,https://www.kinopoisk.ru/film/350/,США ,драма, Мартин Скорсезе,1990,140
Мстители: Война бесконечности,7.3,60081,https://www.kinopoisk.ru/film/843649/,США ,фантастика, Энтони Руссо,2018,149
Опасная игра Слоун,7.3,76589,https://www.kinopoisk.ru/film/933307/,США ,драма, Джон Мэдден,2016,132
Пираты Карибского моря: Сундук мертвеца,7.3,63338,https://www.kinopoisk.ru/film/63991/,США ,фэнтези, Гор Вербински,2006,151
Форсаж,7.3,119483,https://www.kinopoisk.ru/film/666/,США ,боевик, Роб Коэн,2001,106
Укрась прощальное утро цветами обещания,7.3,48378,https://www.kinopoisk.ru/film/1103852/,Япония ,аниме, Мари Окада,2018,115
Старикам тут не место,7.3,66085,https://www.kinopoisk.ru/film/195434/,США ,триллер, Итан Коэн,2007,122
Дневник памяти,7.3,37828,https://www.kinopoisk.ru/film/3561/,США ,драма, Ник Кассаветис,2004,124
Хоббит: Нежданное путешествие,7.3,46581,https://www.kinopoisk.ru/film/278522/,Новая Зеландия ,фэнтези, Питер Джексон,2012,169
Звёздные войны: Эпизод 3 – Месть ситхов,7.3,19462,https://www.kinopoisk.ru/film/5619/,США ,фантастика, Джордж Лукас,2005,140
Отель Мумбаи: Противостояние,7.3,64833,https://www.kinopoisk.ru/film/958519/,США ,боевик, Энтони Марас,2018,123
Ворошиловский стрелок,7.3,130499,https://www.kinopoisk.ru/film/41442/,Россия ,драма, Станислав Говорухин,1999,95
Приключения Паддингтона 2,7.3,104696,https://www.kinopoisk.ru/film/906042/,Великобритания ,фэнтези, Пол Кинг,2017,103
Исчезнувшая,7.3,41232,https://www.kinopoisk.ru/film/692861/,США ,триллер, Дэвид Финчер,2014,149
Брестская крепость,7.3,38105,https://www.kinopoisk.ru/film/436263/,Беларусь ,военный, Александр Котт,2010,131
Убить Билла,7.3,26021,https://www.kinopoisk.ru/film/2717/,США ,боевик, Квентин Тарантино,2003,111
"Знакомьтесь, Джо Блэк",7.3,45267,https://www.kinopoisk.ru/film/5059/,США ,мелодрама, Мартин Брест,1998,178
Афоня,7.3,46353,https://www.kinopoisk.ru/film/43423/,СССР ,драма, Георгий Данелия,1975,92
Темный рыцарь: Возрождение легенды,7.3,24805,https://www.kinopoisk.ru/film/437410/,США ,фантастика, Кристофер Нолан,2012,165
Бегущий по лезвию 2049,7.3,53982,https://www.kinopoisk.ru/film/589290/,США ,фантастика, Дени Вильнёв,2017,164
Подольские курсанты,7.3,108361,https://www.kinopoisk.ru/film/1191022/,Россия ,военный, Вадим Шмелев,2020,136
Изгой,7.3,24052,https://www.kinopoisk.ru/film/627/,США ,драма, Роберт Земекис,2000,143
Легенда №17,7.3,116690,https://www.kinopoisk.ru/film/601564/,Россия ,биография, Николай Лебедев,2012,134
Мимино,7.3,33911,https://www.kinopoisk.ru/film/46638/,СССР ,драма, Георгий Данелия,1977,92
Белое солнце пустыни,7.3,47661,https://www.kinopoisk.ru/film/46066/,СССР ,боевик, Владимир Мотыль,1969,84
Мальчик в полосатой пижаме,7.3,29707,https://www.kinopoisk.ru/film/281251/,Великобритания ,драма, Марк Херман,2008,94
Игра,7.3,25488,https://www.kinopoisk.ru/film/12198/,США ,триллер, Дэвид Финчер,1997,129
Охота,7.3,40755,https://www.kinopoisk.ru/film/647671/,Дания ,драма, Томас Винтерберг,2012,115
Гарри Поттер и Принц-полукровка,7.3,47342,https://www.kinopoisk.ru/film/89515/,Великобритания ,фэнтези, Дэвид Йейтс,2009,153
Трасса 60,7.3,22011,https://www.kinopoisk.ru/film/3563/,Канада ,фантастика, Боб Гейл,2001,116
Отель «Гранд Будапешт»,7.3,36791,https://www.kinopoisk.ru/film/683999/,США ,комедия, Уэс Андерсон,2014,100
Пролетая над гнездом кукушки,7.3,21223,https://www.kinopoisk.ru/film/336/,США ,драма, Милош Форман,1975,133
Вечное сияние чистого разума,7.3,26431,https://www.kinopoisk.ru/film/5492/,США ,мелодрама, Мишель Гондри,2004,108
Невозможное,7.3,43192,https://www.kinopoisk.ru/film/518037/,Испания ,драма, Хуан Антонио Байона,2012,109
Невидимый гость,7.2,34410,https://www.kinopoisk.ru/film/959365/,Испания ,триллер, Ориол Паоло,2016,106
Пленницы,7.2,24383,https://www.kinopoisk.ru/film/455194/,США ,триллер, Дени Вильнёв,2013,153
Самая обаятельная и привлекательная,7.2,51043,https://www.kinopoisk.ru/film/43602/,СССР ,мелодрама, Геральд Бежанов,1985,81
Чужой,7.2,22991,https://www.kinopoisk.ru/film/386/,Великобритания ,ужасы, Ридли Скотт,1979,116
Гонка,7.2,44109,https://www.kinopoisk.ru/film/596125/,Великобритания ,спорт, Рон Ховард,2013,123
Реальная любовь,7.2,70545,https://www.kinopoisk.ru/film/6144/,Великобритания ,мелодрама, Ричард Кёртис,2003,129
Прислуга,7.2,23331,https://www.kinopoisk.ru/film/470553/,США ,драма, Тейт Тейлор,2011,146
Красота по-американски,7.2,12766,https://www.kinopoisk.ru/film/351/,США ,драма, Сэм Мендес,1999,122
Мотылёк,7.2,101467,https://www.kinopoisk.ru/film/939411/,США ,драма, Михаэль Ноер,2017,133
Курьер,7.2,34970,https://www.kinopoisk.ru/film/45028/,СССР ,драма, Карен Шахназаров,1986,88
Хранители,7.2,23962,https://www.kinopoisk.ru/film/252641/,США ,фантастика, Зак Снайдер,2009,162
Бронкская история,7.2,26216,https://www.kinopoisk.ru/film/7466/,США ,драма, Роберт Де Ниро,1993,121
Тот самый Мюнхгаузен,7.2,22639,https://www.kinopoisk.ru/film/77283/,СССР ,фэнтези, Марк Захаров,1979,134
Железный человек,7.2,57077,https://www.kinopoisk.ru/film/61237/,США ,фантастика, Джон Фавро,2008,126
Американская история X,7.2,13780,https://www.kinopoisk.ru/film/382/,США ,драма, Тони Кэй,1998,119
День сурка,7.2,35347,https://www.kinopoisk.ru/film/527/,США ,фэнтези, Харольд Рэмис,1993,101
"Три билборда на границе Эббинга, Миссури",7.2,22220,https://www.kinopoisk.ru/film/944098/,Великобритания ,драма, Мартин Макдона,2017,115
Собачья жизнь,7.2,22388,https://www.kinopoisk.ru/film/571896/,США ,фэнтези, Лассе Халльстрём,2017,100
Хоббит: Битва пяти воинств,7.2,32972,https://www.kinopoisk.ru/film/694633/,Новая Зеландия ,фэнтези, Питер Джексон,2014,144
Стражи Галактики. Часть 3,7.2,87865,https://www.kinopoisk.ru/film/1044280/,США ,фантастика, Джеймс Ганн,2023,150
Лицо со шрамом,7.2,16390,https://www.kinopoisk.ru/film/4695/,США ,драма, Брайан Де Пальма,1983,170
Стражи Галактики,7.2,44545,https://www.kinopoisk.ru/film/689066/,США ,фантастика, Джеймс Ганн,2014,121
Грань будущего,7.2,33984,https://www.kinopoisk.ru/film/505851/,США ,фантастика, Даг Лайман,2014,113
Апокалипсис сегодня,7.2,16966,https://www.kinopoisk.ru/film/354/,США ,военный, Фрэнсис Форд Коппола,1979,194
Общество мертвых поэтов,7.2,16515,https://www.kinopoisk.ru/film/4996/,США ,драма, Питер Уир,1989,128
В погоне за счастьем,7.2,32765,https://www.kinopoisk.ru/film/104938/,США ,драма, Габриэле Муччино,2006,117
Большая игра,7.2,68078,https://www.kinopoisk.ru/film/976636/,США ,биография, Аарон Соркин,2017,140
Холодное лето пятьдесят третьего...,7.2,27987,https://www.kinopoisk.ru/film/7660/,СССР ,драма, Александр Прошкин,1987,102
Казино,7.2,13096,https://www.kinopoisk.ru/film/2494/,США ,драма, Мартин Скорсезе,1995,171
Мой сосед Тоторо,7.2,39887,https://www.kinopoisk.ru/film/8221/,Япония ,аниме, Хаяо Миядзаки,1988,86
Звук свободы,7.2,268600,https://www.kinopoisk.ru/film/1134493/,Мексика ,драма, Алехандро Гомес Монтеверде,2023,131
Кот в сапогах 2: Последнее желание,7.2,32116,https://www.kinopoisk.ru/film/840821/,США ,мультфильм, Джоэль Кроуфорд,2022,102
Рататуй,7.2,86241,https://www.kinopoisk.ru/film/89514/,США ,мультфильм, Брэд Бёрд,2007,111
Вам и не снилось...,7.2,33876,https://www.kinopoisk.ru/film/45660/,СССР ,драма, Илья Фрэз,1980,86
Мстители: Финал,7.2,52219,https://www.kinopoisk.ru/film/843650/,США ,фантастика, Энтони Руссо,2019,181
Сталкер,7.2,26840,https://www.kinopoisk.ru/film/43970/,СССР ,фантастика, Андрей Тарковский,1979,163
Страсти Христовы,7.2,24600,https://www.kinopoisk.ru/film/3707/,США ,драма, Мэл Гибсон,2004,127
Спасти рядового Райана,7.2,17889,https://www.kinopoisk.ru/film/371/,США ,военный, Стивен Спилберг,1998,169
Эффект бабочки,7.2,21809,https://www.kinopoisk.ru/film/5167/,США ,фантастика, Эрик Бресс,2003,113
Гарри Поттер и Дары Смерти: Часть I,7.2,43816,https://www.kinopoisk.ru/film/276762/,Великобритания ,фэнтези, Дэвид Йейтс,2010,146
Джокер,7.2,52404,https://www.kinopoisk.ru/film/1048334/,США ,драма, Тодд Филлипс,2019,122
Особенности национальной охоты,7.2,55237,https://www.kinopoisk.ru/film/7653/,Россия ,комедия, Александр Рогожкин,1995,93
Иллюзионист,7.2,50169,https://www.kinopoisk.ru/film/102198/,США ,драма, Нил Бёргер,2005,110
О чём говорят мужчины,7.2,73602,https://www.kinopoisk.ru/film/468102/,Россия ,комедия, Дмитрий Дьяченко,2010,93
Привидение,7.2,43043,https://www.kinopoisk.ru/film/1991/,США ,мелодрама, Джерри Цукер,1990,127
Человек дождя,7.2,27524,https://www.kinopoisk.ru/film/519/,США ,драма, Барри Левинсон,1988,133
Лёд 3,7.2,368304,https://www.kinopoisk.ru/film/5275429/,Россия ,спорт, Юрий Хмельницкий,2024,134
Бешеные псы,7.2,17226,https://www.kinopoisk.ru/film/394/,США ,криминал, Квентин Тарантино,1991,100
Пила: Игра на выживание,7.2,13921,https://www.kinopoisk.ru/film/64187/,США ,ужасы, Джеймс Ван,2004,103
День выборов,7.2,43539,https://www.kinopoisk.ru/film/309408/,Россия ,комедия, Олег Фомин,2007,125
Нечто,7.2,13001,https://www.kinopoisk.ru/film/8366/,США ,ужасы, Джон Карпентер,1982,109
Город бога,7.2,32942,https://www.kinopoisk.ru/film/439/,Бразилия ,драма, Фернанду Мейреллиш,2002,130
Хоккейные папы,7.2,240391,https://www.kinopoisk.ru/film/4920181/,Россия ,спорт, Андрей Булатов,2023,131
Головоломка,7.2,68227,https://www.kinopoisk.ru/film/645118/,США ,мультфильм, Пит Доктер,2015,95
Ученик чудовища,7.2,51268,https://www.kinopoisk.ru/film/885317/,Япония ,аниме, Мамору Хосода,2015,119
Семьянин,7.2,67826,https://www.kinopoisk.ru/film/664/,США ,фэнтези, Бретт Рэтнер,2000,125
Приключения Реми,7.2,43608,https://www.kinopoisk.ru/film/1108571/,Франция ,мелодрама, Антуан Блоссье,2018,105
Цельнометаллическая оболочка,7.2,11708,https://www.kinopoisk.ru/film/418/,Великобритания ,драма, Стэнли Кубрик,1987,116
Мумия,7.2,58206,https://www.kinopoisk.ru/film/4484/,США ,фэнтези, Стивен Соммерс,1999,124
