Name,Rating,Rating count,Link,Country,Genre,Director,Year,Time (min)
Одержимость,7.0,36466,https://www.kinopoisk.ru/film/23737/,США ,триллер, Пол Макгиган,2004,114
Адамовы яблоки,7.0,15495,https://www.kinopoisk.ru/film/81691/,Дания ,драма, Андерс Томас Йенсен,2005,91
Догмен,7.0,460613,https://www.kinopoisk.ru/film/4922959/,Франция ,драма, Люк Бессон,2023,113
Жмурки,7.0,97279,https://www.kinopoisk.ru/film/84830/,Россия ,комедия, Алексей Балабанов,2005,111
Мой ужасный сосед,7.0,20552,https://www.kinopoisk.ru/film/1074910/,Швеция ,драма, Марк Форстер,2022,126
Быстрее пули,7.0,59677,https://www.kinopoisk.ru/film/1392550/,США ,боевик, Дэвид Литч,2022,126
Kingsman: Секретная служба,7.0,33705,https://www.kinopoisk.ru/film/749540/,Великобритания ,боевик, Мэттью Вон,2015,130
Шерлок Холмс: Игра теней,7.0,16008,https://www.kinopoisk.ru/film/474953/,США ,боевик, Гай Ричи,2011,128
Эта дурацкая любовь,7.0,15726,https://www.kinopoisk.ru/film/493992/,США ,мелодрама, Гленн Фикарра,2011,118
Звёздные войны: Эпизод 1 – Скрытая угроза,7.0,19460,https://www.kinopoisk.ru/film/6695/,США ,фантастика, Джордж Лукас,1999,136
Её заветное желание,6.9,30229,https://www.kinopoisk.ru/film/1398967/,Япония ,аниме, Котаро Тамура,2020,99
Таинственная река,6.9,10466,https://www.kinopoisk.ru/film/3730/,США ,триллер, Клинт Иствуд,2003,138
Обитель зла,6.9,30777,https://www.kinopoisk.ru/film/801/,США ,ужасы, Пол У. С. Андерсон,2002,100
1917,6.9,12511,https://www.kinopoisk.ru/film/1171976/,Великобритания ,военный, Сэм Мендес,2019,119
«V» значит Вендетта,6.9,10650,https://www.kinopoisk.ru/film/86208/,Великобритания ,фантастика, Джеймс МакТиг,2006,132
Одаренная,6.9,18179,https://www.kinopoisk.ru/film/929348/,США ,драма, Марк Уэбб,2017,101
"Человек, который изменил всё",6.9,26352,https://www.kinopoisk.ru/film/432791/,США ,драма, Беннетт Миллер,2011,133
Мальчик и птица,6.9,88848,https://www.kinopoisk.ru/film/1071383/,Япония ,аниме, Хаяо Миядзаки,2023,124
Старик,6.9,27772,https://www.kinopoisk.ru/film/711443/,Казахстан ,триллер, Ермек Турсунов,2012,102
Хулиганы,6.9,11025,https://www.kinopoisk.ru/film/77444/,Великобритания ,драма, Лекси Александр,2005,109
Час пик,6.9,13690,https://www.kinopoisk.ru/film/6345/,США ,боевик, Бретт Рэтнер,1998,98
"Я, робот",6.9,28087,https://www.kinopoisk.ru/film/4886/,США ,фантастика, Алекс Пройас,2004,115
Зловещие мертвецы 2,6.9,8671,https://www.kinopoisk.ru/film/2918/,США ,ужасы, Сэм Рэйми,1987,84
Мстители,6.9,33727,https://www.kinopoisk.ru/film/263531/,США ,фантастика, Джосс Уидон,2012,137
Гнев человеческий,6.9,252231,https://www.kinopoisk.ru/film/1318972/,Великобритания ,боевик, Гай Ричи,2021,119
Легкое поведение,6.9,27279,https://www.kinopoisk.ru/film/258774/,Великобритания ,мелодрама, Стефан Эллиотт,2008,97
"Руслан и Людмила. Больше, чем сказка",6.9,118129,https://www.kinopoisk.ru/film/5356063/,Россия ,мультфильм, Алексей Цицилин,2023,95
CODA: Ребенок глухих родителей,6.9,5155,https://www.kinopoisk.ru/film/1311466/,Франция ,драма, Шан Хейдер,2020,111
Матч поинт,6.9,24009,https://www.kinopoisk.ru/film/81530/,США ,триллер, Вуди Аллен,2005,124
Гран туризмо,6.9,67346,https://www.kinopoisk.ru/film/1044002/,США ,боевик, Нил Бломкамп,2023,134
Бесстрашный,6.9,24180,https://www.kinopoisk.ru/film/102161/,Китай ,боевик, Ронни Юй,2006,104
Талантливый мистер Рипли,6.9,11285,https://www.kinopoisk.ru/film/5558/,США ,триллер, Энтони Мингелла,1999,139
1408,6.9,16859,https://www.kinopoisk.ru/film/195563/,США ,ужасы, Микаэль Хофстрём,2007,104
Гадкий я,6.9,139378,https://www.kinopoisk.ru/film/432724/,США ,мультфильм, Пьер Коффан,2010,95
Дитя погоды,6.9,34328,https://www.kinopoisk.ru/film/1219417/,Япония ,аниме, Макото Синкай,2019,112
